Division Name,School Name,chronic_absenteeism_rate
Danville City,George Washington High,0.41009999999999996
Alexandria City,George Washington Middle,0.0907
Wythe County,George Wythe High,0.32409999999999994
Richmond City,George Wythe High,0.34259999999999996
Chesapeake City,Georgetown Primary,0.392
Isle of Wight County,Georgie D. Tyler Middle,0.44920000000000004
Norfolk City,Ghent K-8,0.1032
Montgomery County,Gilbert Linkous Elementary,0.0594
Giles County,Giles High,0.1801
Richmond City,Ginter Park Elementary,0.1788
Franklin County,Glade Hill Elementary,0.2591
Washington County,Glade Spring Middle,0.18280000000000002
Carroll County,Gladesboro Elementary,0.1124
Carroll County,Gladeville Elementary,0.1281
Fairfax County,Glasgow Middle,0.1884
Arlington County,Glebe Elementary,0.0435
Henrico County,Glen Allen Elementary,0.0949
Henrico County,Glen Allen High,0.1517
Roanoke County,Glen Cove Elementary,0.1094
Fairfax County,Glen Forest Elementary,0.22760000000000002
Henrico County,Glen Lea Elementary,0.37770000000000004
Prince William County,Glenkirk Elementary,0.0943
Roanoke County,Glenvar Elementary,0.0818
Roanoke County,Glenvar High,0.15810000000000002
Roanoke County,Glenvar Middle,0.11710000000000001
Virginia Beach City,Glenwood Elementary,0.12689999999999999
Gloucester County,Gloucester High,0.16219999999999998
Goochland County,Goochland Elementary,0.12269999999999999
Goochland County,Goochland High,0.1485
Goochland County,Goochland Middle,0.1137
Bedford County,Goodview Elementary,0.1754
Orange County,Gordon-Barbour Elementary,0.3191
Loudoun County,Goshen Post Elementary,0.1297
Fauquier County,Grace Miller Elementary,0.16940000000000002
York County,Grafton Bethel Elementary,0.0968
York County,Grafton High,0.1393
York County,Grafton Middle,0.1321
Stafford County,Grafton Village Elementary,0.14029999999999998
Tazewell County,Graham High,0.2927
Tazewell County,Graham Intermediate,0.20850000000000002
Tazewell County,Graham Middle,0.2843
Prince William County,Graham Park Middle,0.2148
Fairfax County,Graham Road Elementary,0.2465
Norfolk City,Granby Elementary,0.2556
Norfolk City,Granby High,0.2577
Roanoke City,Grandin Court Elementary,0.0883
Chesterfield County,Grange Hall Elementary,0.07730000000000001
Chesapeake City,Grassfield Elementary,0.1463
Chesapeake City,Grassfield High,0.0783
Grayson County,Grayson County High,0.16820000000000002
Grayson County,Grayson Highlands,0.08259999999999999
Chesapeake City,Great Bridge High,0.1335
Chesapeake City,Great Bridge Intermediate,0.1079
Chesapeake City,Great Bridge Middle,0.1517
Fairfax County,Great Falls Elementary,0.0974
Virginia Beach City,Great Neck Middle,0.1795
Virginia Beach City,Green Run Collegiate,0.3056
Virginia Beach City,Green Run Elementary,0.2027
Virginia Beach City,Green Run High,0.26239999999999997
Roanoke County,Green Valley Elementary,0.07139999999999999
Fairfax County,Greenbriar East Elementary,0.1197
Fairfax County,Greenbriar West Elementary,0.08650000000000001
Charlottesville City,Greenbrier Elementary,0.0492
Chesapeake City,Greenbrier Intermediate,0.17559999999999998
Chesapeake City,Greenbrier Middle,0.2432
Washington County,Greendale Elementary,0.1654
Botetourt County,Greenfield Elementary,0.0434
Chesterfield County,Greenfield Elementary,0.0653
Greensville County,Greensville County High,0.2615
Greensville County,Greensville Elementary,0.332
Fauquier County,Greenville Elementary,0.099
Frederick County,Greenwood Mill Elementary,0.16949999999999998
Pittsylvania County,Gretna Elementary,0.1887
Pittsylvania County,Gretna High,0.3063
Pittsylvania County,Gretna Middle,0.3258
Fairfax County,Groveton Elementary,0.245
Buchanan County,Grundy High,0.42369999999999997
Loudoun County,Guilford Elementary,0.18530000000000002
Fairfax County,Gunston Elementary,0.16670000000000001
Arlington County,Gunston Middle,0.08310000000000001
Augusta County,Guy K. Stump Elementary,0.10460000000000001
Stafford County,H.H. Poole Middle,0.1318
Fauquier County,H.M. Pearson Elementary,0.1689
Halifax County,Halifax County High,0.45740000000000003
Halifax County,Halifax County Middle,0.3768
Fairfax County,Halley Elementary,0.2192
Loudoun County,Hamilton Elementary,0.1043
King William County,Hamilton Holmes Middle,0.062400000000000004
Hampton City,Hampton High,0.2571
Stafford County,Hampton Oaks Elementary,0.1663
Hanover County,Hanover High,0.0867
Patrick County,Hardin Reynolds Memorial School,0.0833
Montgomery County,Harding Avenue Elementary,0.0432
Isle of Wight County,Hardy Elementary,0.2843
Loudoun County,Harmony Middle,0.11789999999999999
Henrico County,Harold Macon Ratcliffe Elementary,0.31739999999999996
Loudoun County,Harper Park Middle,0.1159
Lexington City,Harrington Waddell Elementary,0.0642
Spotsylvania County,Harrison Road Elementary,0.2157
Harrisonburg City,Harrisonburg High,0.3539
Chesterfield County,Harrowgate Elementary,0.1957
Hopewell City,Harry E. James Elementary,0.4122
Stafford County,Hartwood Elementary,0.1613
Henrico County,Harvie Elementary,0.2402
Fairfax County,Haycock Elementary,0.031
Fairfax County,Hayfield Elementary,0.09230000000000001
Fairfax County,Hayfield Secondary,0.17129999999999998
Prince William County,Haymarket Elementary,0.081
Richmond City,Henderson Middle,0.2368
Henrico County,Henrico High,0.3121
Henrico County,Henry D. Ward Elementary,0.2298
Franklin County,Henry Elementary,0.0748
Richmond City,Henry Marsh III Elementary,0.5487
Prince William County,Herbert J. Saunders Middle,0.1164
Lynchburg City,Heritage Elementary,0.2695
Newport News City,Heritage High,0.5275
Loudoun County,Heritage High,0.19390000000000002
Lynchburg City,Heritage High,0.35609999999999997
Roanoke County,Herman L. Horn Elementary,0.1108
Virginia Beach City,Hermitage Elementary,0.1766
Henrico County,Hermitage High,0.2978
Fairfax County,Herndon Elementary,0.24489999999999998
Fairfax County,Herndon High,0.2126
Fairfax County,Herndon Middle,0.2565
Chesapeake City,Hickory Elementary,0.1512
Chesapeake City,Hickory High,0.0572
Chesapeake City,Hickory Middle,0.17190000000000003
Roanoke County,Hidden Valley High,0.19440000000000002
Roanoke County,Hidden Valley Middle,0.1014
Newport News City,Hidenwood Elementary,0.203
Washington County,High Point Elementary,0.1161
Highland County,Highland Elementary,0.2
Highland County,Highland High,0.3118
Roanoke City,Highland Park Elementary,0.1225
Henrico County,Highland Springs Elementary,0.3414
Henrico County,Highland Springs High,0.3861
Bristol City,Highland View Elementary,0.45299999999999996
Warren County,Hilda J. Barbour Elementary,0.1775
Suffolk City,Hillpoint Elementary,0.2585
Loudoun County,Hillsboro Charter Academy,0.09029999999999999
Loudoun County,Hillside Elementary,0.09910000000000001
Carroll County,Hillsville Elementary,0.1294
Newport News City,Hilton Elementary,0.1405
Scott County,Hilton Elementary,0.0248
Portsmouth City,Hodges Manor Elementary,0.28190000000000004
Arlington County,Hoffman-Boston Elementary,0.098
Virginia Beach City,Holland Elementary,0.22510000000000002
Fairfax County,Hollin Meadows Elementary,0.21309999999999998
Albemarle County,Hollymead Elementary,0.09759999999999999
Fairfax County,Holmes Middle,0.2167
Washington County,Holston High,0.3178
Newport News City,Homer L. Hines Middle,0.45880000000000004
Russell County,Honaker Elementary,0.2731
Russell County,Honaker High,0.33409999999999995
Shenandoah County,Honey Run Elementary,0.3675
Hopewell City,Hopewell High,0.30010000000000003
Chesterfield County,Hopkins Road Elementary,0.1559
Loudoun County,Horizon Elementary,0.0917
Loudoun County,Hovatter Elementary,0.077
Bedford County,Huddleston Elementary,0.1773
Fredericksburg City,Hugh Mercer Elementary,0.4499
Fairfax County,Hughes Middle,0.183
Chesapeake City,Hugo A. Owens Middle,0.2167
Richmond City,Huguenot High,0.3098
Fairfax County,Hunt Valley Elementary,0.0814
Hampton City,Hunter B. Andrews,0.2357
Fairfax County,Hunters Woods Elementary School for the Arts and Sciences,0.09050000000000001
Newport News City,Huntington Middle,0.6259
Buchanan County,Hurley Elementary/Middle,0.3602
Buchanan County,Hurley High,0.204
Roanoke City,Hurt Park Elementary,0.3925
Fairfax County,Hutchison Elementary,0.2057
Loudoun County,Hutchison Farm Elementary,0.1116
Fairfax County,Hybla Valley Elementary,0.2974
Portsmouth City,I.C. Norcom High,0.433
Grayson County,Independence Elementary,0.1161
Loudoun County,Independence High,0.1325
Grayson County,Independence Middle,0.18289999999999998
Virginia Beach City,Independence Middle,0.159
Frederick County,Indian Hollow Elementary,0.21960000000000002
Virginia Beach City,Indian Lakes Elementary,0.10220000000000001
Chesapeake City,Indian River High,0.1898
Chesapeake City,Indian River Middle,0.24530000000000002
Floyd County,Indian Valley Elementary,0.2857
Norfolk City,Ingleside Elementary,0.253
Fairfax County,Irving Middle,0.1128
Fairfax County,Island Creek Elementary,0.07440000000000001
Williamsburg-James City County,J. Blaine Blayton Elementary,0.1413
Rockingham County,J. Frank Hillyard Middle,0.28350000000000003
Loudoun County,J. Lupton Simpson Middle,0.13470000000000001
Loudoun County,J. Michael Lunsford Middle,0.0885
Chesterfield County,J.A. Chalkley Elementary,0.2225
Richmond City,J.B. Fisher Elementary,0.1935
Chesterfield County,J.B. Watkins Elementary,0.09029999999999999
Chesterfield County,J.G. Hening Elementary,0.1597
Richmond City,J.L. Francis Elementary,0.2638
Wise County,J.W. Adams Combined,0.0911
Prince William County,J.W. Alvey Elementary,0.0867
Henrico County,Jackson Davis Elementary,0.049400000000000006
Wythe County,Jackson Memorial Elementary,0.2887
Fairfax County,Jackson Middle,0.15
Albemarle County,Jackson P. Burley Middle,0.10679999999999999
Charlottesville City,Jackson-Via Elementary,0.1789
Henrico County,Jacob L. Adams Elementary,0.3528
Chesterfield County,Jacobs Road Elementary,0.1881
Norfolk City,Jacox Elementary,0.44789999999999996
Williamsburg-James City County,James Blair Middle,0.1439
Fauquier County,James G. Brumfield Elementary,0.1389
Alexandria City,James K. Polk Elementary,0.17739999999999997
Roanoke City,James Madison Middle,0.2576
Norfolk City,James Monroe Elementary,0.1226
Fredericksburg City,James Monroe High,0.24
Williamsburg-James City County,James River Elementary,0.0949
Botetourt County,James River High,0.0889
Chesterfield County,James River High,0.22719999999999999
Brunswick County,James S. Russell Middle,0.4012
Frederick County,James Wood High,0.23920000000000002
Frederick County,James Wood Middle,0.2368
Arlington County,Jamestown Elementary,0.011000000000000001
Williamsburg-James City County,Jamestown High,0.2066
Hampton City,Jane H. Bryan Elementary,0.2159
Bedford County,Jefferson Forest High,0.1148
Arlington County,Jefferson Middle,0.0603
Alexandria City,Jefferson-Houston PK-8 School,0.2351
Manassas City,Jennie Dean Elementary,0.193
Alleghany Highlands,Jeter-Watson Elementary,0.5017
Alexandria City,John Adams Elementary,0.2761
Richmond City,John B. Cary Elementary,0.0986
Virginia Beach City,John B. Dey Elementary,0.1116
Rockingham County,John C. Myers Elementary,0.2159
Loudoun County,John Champe High,0.1598
Prince William County,John D. Jenkins Elementary,0.16670000000000001
Suffolk City,John F. Kennedy Middle,0.3002
Prince William County,John F. Pattie Sr. Elementary,0.1371
Winchester City,John Handley High,0.38670000000000004
Winchester City,John Kerr Elementary,0.2004
Pittsylvania County,John L. Hurt Elementary,0.1981
Hanover County,John M. Gandy Elementary,0.1067
Richmond City,John Marshall High,0.23809999999999998
Radford City,John N. Dalton Intermediate,0.11220000000000001
Roanoke City,John P. Fishwick Middle,0.2257
Henrico County,John Randolph Tucker High,0.2791
Henrico County,John Rolfe Middle,0.3119
Washington County,John S. Battle High,0.2671
Rockingham County,John W. Wayland Elementary,0.19640000000000002
Suffolk City,John Yeates Middle,0.11109999999999999
Charlottesville City,Johnson Elementary,0.1151
Fairfax County,Johnson Middle,0.1598
Clarke County,Johnson-Williams Middle,0.23870000000000002
Chesapeake City,Jolliff Middle,0.20800000000000002
Lee County,Jonesville Middle,0.24170000000000003
Frederick County,Jordan Springs Elementary,0.1956
Newport News City,Joseph H. Saunders Elementary,0.3479
Franklin City,Joseph P. King Jr. Middle,0.5108
Albemarle County,Joseph T. Henley Middle,0.09820000000000001
Bristol City,Joseph Van Pelt Elementary,0.29309999999999997
Louisa County,Jouett Elementary,0.0554
Albemarle County,Journey Middle,0.1174
Fairfax County,Justice High,0.2094
Stafford County,Kate Waller Barrett Elementary,0.152
Newport News City,Katherine Johnson Elementary,0.2984
Hampton City,Kecoughtan High,0.2253
Fairfax County,Keene Mill Elementary,0.0704
Accomack County,Kegotank Elementary,0.1674
Harrisonburg City,Keister Elementary,0.1941
Virginia Beach City,Kempsville Elementary,0.1739
Virginia Beach City,Kempsville High,0.2859
Virginia Beach City,Kempsville Meadows Elementary,0.17010000000000003
Virginia Beach City,Kempsville Middle,0.2296
Lunenburg County,Kenbridge Elementary,0.1358
Arlington County,Kenmore Middle,0.09759999999999999
Loudoun County,Kenneth W.Culbert Elementary,0.0833
Fairfax County,Kent Gardens Elementary,0.0604
Pittsylvania County,Kentuck Elementary,0.1585
Prince William County,Kerrydale Elementary,0.0951
Hanover County,Kersey Creek Elementary,0.026699999999999998
Fauquier County,Kettle Run High,0.122
Fairfax County,Key Center,0.4828
Fairfax County,Key Middle,0.25730000000000003
Suffolk City,Kilby Shores Elementary,0.2546
Fairfax County,Kilmer Center,0.39289999999999997
Fairfax County,Kilmer Middle,0.0852
Newport News City,Kiln Creek Elementary,0.3414
King and Queen County,King & Queen Elementary,0.1466
King George County,King George Elementary,0.2165
King George County,King George High,0.2193
King George County,King George Middle,0.2366
King William County,King William High,0.2849
Suffolk City,King's Fork High,0.3843
Suffolk City,King's Fork Middle,0.307
Virginia Beach City,King's Grant Elementary,0.23329999999999998
Fairfax County,Kings Glen Elementary,0.0759
Fairfax County,Kings Park Elementary,0.1032
Virginia Beach City,Kingston Elementary,0.1294
Montgomery County,Kipps Elementary,0.0726
Northampton County,Kiptopeke Elementary,0.2588
Prince William County,Kyle R. Wilson Elementary,0.1606
Henrico County,L. Douglas Wilder Middle,0.2562
Wise County,L.F. Addington Middle,0.1469
Prince George County,L.L. Beazley Elementary,0.2555
Henrico County,Laburnum Elementary,0.314
Rockingham County,Lacey Spring Elementary,0.125
Fredericksburg City,Lafayette Elementary,0.3614
Williamsburg-James City County,Lafayette High,0.2389
Fairfax County,Lake Anne Elementary,0.159
Fairfax County,Lake Braddock Secondary,0.09539999999999998
Prince William County,Lake Ridge Elementary,0.1646
Prince William County,Lake Ridge Middle,0.1506
Norfolk City,Lake Taylor,0.2826
Suffolk City,Lakeland High,0.47100000000000003
Petersburg City,Lakemont Elementary,0.3362
Henrico County,Lakeside Elementary,0.1387
Albemarle County,Lakeside Middle,0.1231
Portsmouth City,Lakeview Elementary,0.1866
Colonial Heights City,Lakeview Elementary,0.3109
Lancaster County,Lancaster High,0.27699999999999997
Lancaster County,Lancaster Middle,0.3132
Lancaster County,Lancaster Primary,0.18989999999999999
Virginia Beach City,Landstown Elementary,0.1764
Virginia Beach City,Landstown High,0.1722
Virginia Beach City,Landstown Middle,0.16010000000000002
Fairfax County,Lane Elementary,0.10060000000000001
Fairfax County,Langley High,0.0906
Norfolk City,Larchmont Elementary,0.1396
Virginia Beach City,Larkspur Middle,0.2518
Norfolk City,Larrymore Elementary,0.2164
Carroll County,Laurel Elementary,0.16920000000000002
Fairfax County,Laurel Hill Elementary,0.1266
Williamsburg-James City County,Laurel Lane Elementary,0.1533
Hanover County,Laurel Meadow Elementary,0.057699999999999994
Fairfax County,Laurel Ridge Elementary,0.0719
King and Queen County,Lawson-Marriott Elementary,0.121
Russell County,Lebanon Elementary,0.2394
Russell County,Lebanon High,0.25780000000000003
Russell County,Lebanon Middle,0.3062
Lee County,Lee High,0.3997
Spotsylvania County,Lee Hill Elementary,0.20379999999999998
Franklin County,Lee M. Waid Elementary,0.1883
Fairfax County,Lees Corner Elementary,0.0929
Loudoun County,Leesburg Elementary,0.1502
Campbell County,Leesville Road Elementary,0.10439999999999999
Prince William County,Leesylvania Elementary,0.24359999999999998
Fairfax County,Lemon Road Elementary,0.1
Warren County,Leslie Fox Keyser Elementary,0.2761
Albemarle County,Leslie H. Walton Middle,0.2291
Fairfax County,Lewis High,0.249
Caroline County,Lewis and Clark Elementary,0.18600000000000003
Loudoun County,Liberty Elementary,0.09269999999999999
Fauquier County,Liberty High,0.2433
Bedford County,Liberty High,0.2752
Hanover County,Liberty Middle,0.1191
Fairfax County,Liberty Middle,0.16469999999999999
Bedford County,Liberty Middle,0.14730000000000001
Orange County,Lightfoot Elementary,0.35100000000000003
Loudoun County,Lightridge High,0.0941
Loudoun County,Lincoln Elementary,0.025
Roanoke City,Lincoln Terrace Elementary,0.2422
Norfolk City,Lindenwood Elementary,0.2814
Virginia Beach City,Linkhorn Park Elementary,0.19149999999999998
Lynchburg City,Linkhorne Elementary,0.3325
Lynchburg City,Linkhorne Middle,0.2898
Rockingham County,Linville-Edom Elementary,0.1477
Richmond City,Linwood Holton Elementary,0.0986
Norfolk City,Little Creek Elementary,0.2735
Loudoun County,Little River Elementary,0.0392
Fairfax County,Little Run Elementary,0.1043
Spotsylvania County,Livingston Elementary,0.21350000000000002
Chesterfield County,Lloyd C. Bird High,0.3119
Prince William County,Loch Lomond Elementary,0.1937
Orange County,Locust Grove Elementary,0.19820000000000002
Orange County,Locust Grove Middle,0.3383
Williamsburg-James City County,Lois Hornsby Middle,0.1128
Fairfax County,London Towne Elementary,0.2167
Arlington County,Long Branch Elementary,0.0816
Henrico County,Longdale Elementary,0.2735
Fairfax County,Longfellow Middle,0.07719999999999999
Botetourt County,Lord Botetourt High,0.1002
Fairfax County,Lorton Station Elementary,0.214
Loudoun County,Loudoun County High,0.2429
Loudoun County,Loudoun Valley High,0.1906
Louisa County,Louisa County High,0.10490000000000001
Louisa County,Louisa County Middle,0.13449999999999998
Prince William County,Louise A. Benton Middle,0.1217
Loudoun County,Lovettsville Elementary,0.10529999999999999
Loudoun County,Lowes Island Elementary,0.0805
Richmond City,Lucille M. Brown Middle,0.2401
Loudoun County,Lucketts Elementary,0.1474
Lunenburg County,Lunenburg Middle,0.1893
Page County,Luray Elementary,0.29359999999999997
Page County,Luray High,0.3068
Page County,Luray Middle,0.3372
Surry County,Luther P. Jackson Middle,0.20440000000000003
Virginia Beach City,Luxford Elementary,0.1208
Lexington City,Lylburn Downing Middle,0.0748
Alexandria City,Lyles-Crouch Elementary,0.0812
Fairfax County,Lynbrook Elementary,0.2249
Virginia Beach City,Lynnhaven Elementary,0.2138
Virginia Beach City,Lynnhaven Middle,0.3072
Suffolk City,Mack Benn Jr. Elementary,0.21100000000000002
Giles County,Macy Mcclaugherty Elementary/Middle,0.1414
Madison County,Madison County High,0.24230000000000002
Caroline County,Madison Elementary,0.2446
Amherst County,Madison Heights Elementary,0.2369
Fairfax County,Madison High,0.1483
Loudoun County,Madison's Trust Elementary,0.09609999999999999
Henry County,Magna Vista High,0.2652
York County,Magruder Elementary,0.1215
Virginia Beach City,Malibu Elementary,0.1433
Manassas Park City,Manassas Park Elementary,0.18469999999999998
Manassas Park City,Manassas Park High,0.3348
Manassas Park City,Manassas Park Middle,0.1809
Chesterfield County,Manchester High,0.2375
Chesterfield County,Manchester Middle,0.2565
Portsmouth City,Manor High,0.5086999999999999
Fairfax County,Mantua Elementary,0.0478
Montgomery County,Margaret Beeks Elementary,0.18359999999999999
Fauquier County,Margaret M. Pierce Elementary,0.1417
Chesterfield County,Marguerite F. Christian Elementary,0.23739999999999997
Smyth County,Marion Elementary,0.1595
Smyth County,Marion Middle,0.2692
Smyth County,Marion Senior High,0.3024
Fairfax County,Marshall High,0.1656
Fauquier County,Marshall Middle,0.1051
Fairfax County,Marshall Road Elementary,0.17170000000000002
Prince William County,Martin Luther King Jr. Elementary,0.1265
Martinsville City,Martinsville High,0.3218
Martinsville City,Martinsville Middle,0.1464
Prince William County,Marumsco Hills Elementary,0.2548
Norfolk City,Mary Calcott Elementary,0.0858
Albemarle County,Mary Carr Greer Elementary,0.2798
Falls Church City,Mary Ellen Henderson Middle,0.0724
Prince William County,Mary G. Porter Traditional,0.027000000000000003
Richmond City,Mary Munford Elementary,0.043899999999999995
Newport News City,Mary Passage Middle,0.3258
Hampton City,Mary S. Peake Elementary,0.2193
Hampton City,Mary T. Christian Elementary,0.1472
Hampton City,Mary W. Jackson Elementary,0.1387
Fauquier County,Mary Walter Elementary,0.2351
Fairfax County,Mason Crest Elementary,0.1953
Roanoke County,Mason's Cove Elementary,0.1452
Spotsylvania County,Massaponax High,0.37329999999999997
Mathews County,Mathews Elementary,0.2152
Mathews County,Mathews High,0.33909999999999996
Chesterfield County,Matoaca Elementary,0.17379999999999998
Chesterfield County,Matoaca High,0.26489999999999997
Chesterfield County,Matoaca Middle,0.2413
Williamsburg-James City County,Matoaka Elementary,0.1211
Williamsburg-James City County,Matthew Whaley Elementary,0.1394
Henrico County,Maude Trevvett Elementary,0.0911
Rockbridge County,Maury River Middle,0.3002
Wythe County,Max Meadows Elementary,0.3057
Henrico County,Maybeury Elementary,0.147
Manassas City,Mayfield Intermediate,0.1938
Craig County,McCleary Elementary,0.46149999999999997
Rockingham County,McGaheysville Elementary,0.1827
Fairfax County,McLean High,0.1193
Fairfax County,McNair Upper Elementary,0.125
Henry County,Meadow View Elementary,0.1797
Chesterfield County,Meadowbrook High,0.5216
Loudoun County,Meadowland Elementary,0.1253
Washington County,Meadowview Elementary,0.1724
Halifax County,Meadville Elementary,0.44189999999999996
Hanover County,Mechanicsville Elementary,0.1139
Hanover County,Mechanicsville High,0.0928
Southampton County,Meherrin Elementary,0.1378
Brunswick County,Meherrin Powellton Elementary,0.3354
Newport News City,Menchville High,0.1943
Falls Church City,Meridian High,0.1048
Albemarle County,Meriwether Lewis Elementary,0.0533
Accomack County,Metompkin Elementary,0.1255
Middlesex County,Middlesex Elementary,0.1981
Middlesex County,Middlesex High,0.2746
Frederick County,Middletown Elementary,0.1778
Chesterfield County,Midlothian High,0.1521
Chesterfield County,Midlothian Middle,0.11130000000000001
Dinwiddie County,Midway Elementary,0.16760000000000003
Richmond City,Miles Jones Elementary,0.2414
Loudoun County,Mill Run Elementary,0.0788
Bath County,Millboro Elementary,0.1818
Frederick County,Millbrook High,0.32030000000000003
Henrico County,Mills E. Godwin High,0.1725
Prince William County,Minnieville Elementary,0.1479
Chesterfield County,Monacan High,0.2503
Amherst County,Monelison Middle,0.19640000000000002
Bedford County,Moneta Elementary,0.1333
Prince William County,Montclair Elementary,0.1591
Roanoke City,Monterey Elementary,0.152
Arlington County,Montessori Public School of Arlington,0.0325
Rockingham County,Montevideo Middle,0.1938
Albemarle County,Monticello High,0.2232
Henrico County,Montrose Elementary,0.23929999999999998
Westmoreland County,Montross Middle,0.2025
Bedford County,Montvale Elementary,0.16879999999999998
Loudoun County,Moorefield Station Elementary,0.12990000000000002
Roanoke City,Morningside Elementary,0.1631
Fairfax County,Mosaic Elementary,0.0717
Louisa County,Moss-Nuckols Elementary,0.125
Pittsylvania County,Mount Airy Elementary,0.157
Fairfax County,Mount Eagle Elementary,0.1858
Roanoke County,Mount Pleasant Elementary,0.1435
Alexandria City,Mount Vernon Elementary,0.2609
Fairfax County,Mount Vernon High,0.2702
Fairfax County,Mount Vernon Woods Elementary,0.2552
Prince William County,Mountain View Elementary,0.11720000000000001
Rockingham County,Mountain View Elementary,0.1989
Loudoun County,Mountain View Elementary,0.0986
Rockbridge County,Mountain View Elementary,0.11109999999999999
Roanoke County,Mountain View Elementary,0.1016
Alleghany Highlands,Mountain View Elementary,0.4548
Albemarle County,Mountain View Elementary,0.1974
Shenandoah County,Mountain View High,0.3893
Fairfax County,Mountain View High,0.6846
Accomack County,Nandua High,0.2158
Accomack County,Nandua Middle,0.17980000000000002
Suffolk City,Nansemond Parkway Elementary,0.2021
Suffolk City,Nansemond River High,0.2846
Alexandria City,Naomi L. Brooks Elementary,0.1298
Giles County,Narrows High,0.08900000000000001
Greene County,Nathanael Greene Elementary,0.38770000000000004
Rockbridge County,Natural Bridge Elementary,0.255
Fairfax County,Navy Elementary,0.0424
Prince William County,Neabsco Elementary,0.22260000000000002
Nelson County,Nelson County High,0.3736
Nelson County,Nelson Middle,0.3725
Virginia Beach City,New Castle Elementary,0.08
Bedford County,New London Academy Elementary,0.055
Fairfax County,Newington Forest Elementary,0.1648
Newport News City,Newsome Park Elementary,0.37170000000000003
Virginia Beach City,Newtown Elementary,0.19519999999999998
Spotsylvania County,Ni River Middle,0.2281
Scott County,Nickelsville Elementary,0.17149999999999999
Chesapeake City,Norfolk Highlands Primary,0.221
Williamsburg-James City County,Norge Elementary,0.0276
Colonial Heights City,North Elementary,0.15460000000000002
Prince George County,North Elementary,0.2841
Shenandoah County,North Fork Middle,0.2725
Virginia Beach City,North Landing Elementary,0.0756
Augusta County,North River Elementary,0.1189
Fairfax County,North Springfield Elementary,0.11810000000000001
Stafford County,North Stafford High,0.2036
Northampton County,Northampton High,0.4052
Northampton County,Northampton Middle,0.3333
Suffolk City,Northern Shores Elementary,0.07440000000000001
Roanoke County,Northside High,0.1911
Norfolk City,Northside Middle,0.2064
Roanoke County,Northside Middle,0.1631
Northumberland County,Northumberland Elementary,0.2797
Northumberland County,Northumberland High,0.3122
Northumberland County,Northumberland Middle,0.2893
Smyth County,Northwood High,0.19579999999999997
Smyth County,Northwood Middle,0.1474
Norton City,Norton Elementary,0.1818
Norfolk City,Norview Elementary,0.1971
Norfolk City,Norview High,0.19030000000000002
Norfolk City,Norview Middle,0.24670000000000003
Arlington County,Nottingham Elementary,0.0102
Southampton County,Nottoway Elementary,0.0913
Nottoway County,Nottoway High,0.2791
Nottoway County,Nottoway Intermediate,0.19399999999999998
Nottoway County,Nottoway Middle,0.3494
Henrico County,Nuckols Farm Elementary,0.0591
Danville City,O. Trent Bonner Middle,0.2693
Chesterfield County,O.B. Gates Elementary,0.1343
Roanoke County,Oak Grove Elementary,0.0909
Richmond City,Oak Grove/Bellemeade Elementary,0.4325
Fairfax County,Oak Hill Elementary,0.050300000000000004
Hanover County,Oak Knoll Middle,0.0662
Smyth County,Oak Point Elementary,0.2407
Falls Church City,Oak Street Elementary,0.050499999999999996
Fairfax County,Oak View Elementary,0.1058
Carroll County,Oakland Elementary,0.1582
Suffolk City,Oakland Elementary,0.2118
