Division Name,School Name,percentage_foster_care
Accomack County,Accawmacke Elementary,0.0024509803921568627
Accomack County,Arcadia High,0.001455604075691412
Accomack County,Arcadia Middle,0.0
Accomack County,Chincoteague Elementary,0.0
Accomack County,Chincoteague High,0.0
Accomack County,Kegotank Elementary,0.0
Accomack County,Metompkin Elementary,0.0017921146953405018
Accomack County,Nandua High,0.003067484662576687
Accomack County,Nandua Middle,0.002197802197802198
Accomack County,Pungoteague Elementary,0.0
Accomack County,Tangier Combined,0.0
Albemarle County,Agnor-Hurt Elementary,0.0
Albemarle County,Albemarle High,1.0
Albemarle County,Baker-Butler Elem,0.001466275659824047
Albemarle County,Broadus Wood Elementary,0.0
Albemarle County,Brownsville Elementary,0.0
Albemarle County,Community Lab School,0.005154639175257732
Albemarle County,Crozet Elementary,0.0
Albemarle County,Hollymead Elementary,0.0029239766081871343
Albemarle County,Jack Jouett Middle,0.001440922190201729
Albemarle County,Jackson P. Burley Middle,0.0016666666666666668
Albemarle County,Joseph T. Henley Middle,0.0
Albemarle County,Lakeside Middle,0.0
Albemarle County,Leslie H. Walton Middle,0.006042296072507553
Albemarle County,Mary Carr Greer Elementary,0.0
Albemarle County,Meriwether Lewis Elementary,0.003115264797507788
Albemarle County,Monticello High,1.0
Albemarle County,Mountain View Elementary,0.0
Albemarle County,Red Hill Elementary,0.0
Albemarle County,Scottsville Elementary,0.004629629629629629
Albemarle County,Stone Robinson Elementary,0.006382978723404255
Albemarle County,Stony Point Elementary,0.0
Albemarle County,Virginia L. Murray Elementary,0.0037313432835820895
Albemarle County,Western Albemarle High,1.0
Albemarle County,Woodbrook Elementary,0.0017793594306049821
Alexandria City,Alexandria City High,1.0
Alexandria City,Charles Barrett Elementary,0.0
Alexandria City,Cora Kelly School for Math Science and Technology,0.0
Alexandria City,Douglas Macarthur Elementary,0.003527336860670194
Alexandria City,Early Childhood Center,0.0
Alexandria City,Ferdinand T. Day Elementary,0.0
Alexandria City,Francis C. Hammond Middle,
Alexandria City,George Mason Elementary,0.0
Alexandria City,George Washington Middle,1.0
Alexandria City,James K. Polk Elementary,0.0
Alexandria City,Jefferson-Houston PK-8 School,0.0
Alexandria City,John Adams Elementary,0.0
Alexandria City,Lyles-Crouch Elementary,0.0
Alexandria City,Mount Vernon Elementary,0.0
Alexandria City,Naomi L. Brooks Elementary,0.0
Alexandria City,Patrick Henry K-8 School,0.0
Alexandria City,Samuel W. Tucker Elementary,0.0
Alexandria City,William Ramsay Elementary,0.0
Alleghany County,Alleghany High,0.005154639175257732
Alleghany County,Callaghan Elementary,0.0
Alleghany County,Clifton Middle,0.0024330900243309003
Alleghany County,Mountain View Elementary,0.006382978723404255
Alleghany County,Sharon Elementary,0.0
Amelia County,Amelia County Elementary,0.006747638326585695
Amelia County,Amelia County High,0.004056795131845842
Amelia County,Amelia County Middle,0.004987531172069825
Amherst County,Amelon Elementary,0.009216589861751152
Amherst County,Amherst County High,1.0
Amherst County,Amherst Elementary,0.008583690987124463
Amherst County,Amherst Middle,0.0026455026455026454
Amherst County,Central Elementary,0.009036144578313253
Amherst County,Elon Elementary,0.0029411764705882353
Amherst County,Madison Heights Elementary,0.007874015748031496
Amherst County,Monelison Middle,0.005357142857142857
Amherst County,Temperance Elementary,0.0
Appomattox County,Appomattox County High,0.008620689655172414
Appomattox County,Appomattox Elementary,0.003992015968063872
Appomattox County,Appomattox Middle,0.007366482504604052
Appomattox County,Appomattox Primary,0.005016722408026756
Arlington County,Abingdon Elementary,0.0
Arlington County,Alice West Fleet Elementary,0.0
Arlington County,Arlington Community High,0.011299435028248588
Arlington County,Arlington Science Focus School,0.0
Arlington County,Arlington Traditional,0.0
Arlington County,Ashlawn Elementary,0.001851851851851852
Arlington County,Barcroft Elementary,0.0022727272727272726
Arlington County,Barrett Elementary,0.001893939393939394
Arlington County,Campbell Elementary,0.0
Arlington County,Cardinal Elementary,0.0
Arlington County,Carlin Springs Elementary,0.0
Arlington County,Claremont Immersion,0.0
Arlington County,Discovery Elementary,0.0
Arlington County,Dorothy Hamm Middle,0.0
Arlington County,Dr. Charles R. Drew Elementary,0.0
Arlington County,Escuela Key Elementary,0.0
Arlington County,Glebe Elementary,0.0
Arlington County,Gunston Middle,1.0
Arlington County,Hoffman-Boston Elementary,0.0
Arlington County,Innovation Elementary,0.0
Arlington County,Integration Station,0.0
Arlington County,Jamestown Elementary,0.0
Arlington County,Jefferson Middle,0.0
Arlington County,Kenmore Middle,
Arlington County,Long Branch Elementary,0.0
Arlington County,Montessori Public School of Arlington,0.0
Arlington County,Nottingham Elementary,0.0
Arlington County,Oakridge Elementary,0.0
Arlington County,Randolph Elementary,0.0
Arlington County,Swanson Middle,0.0
Arlington County,Taylor Elementary,0.0
Arlington County,Tuckahoe Elementary,0.0
Arlington County,Wakefield High,1.0
Arlington County,Washington-Liberty High,1.0
Arlington County,Williamsburg Middle,0.0
Arlington County,Yorktown High,1.0
Augusta County,Beverley Manor Middle,0.003246753246753247
Augusta County,Buffalo Gap High,0.004424778761061947
Augusta County,Cassell Elementary,0.004470938897168405
Augusta County,Churchville Elementary,0.005012531328320802
Augusta County,Craigsville Elementary,0.0
Augusta County,Edward G. Clymore Elementary,0.0054869684499314125
Augusta County,Fort Defiance High,0.0027548209366391185
Augusta County,Guy K. Stump Elementary,0.018648018648018648
Augusta County,North River Elementary,0.0
Augusta County,Riverheads Elementary,0.00715307582260372
Augusta County,Riverheads High,0.008385744234800839
Augusta County,S. Gordon Stewart Middle,0.0
Augusta County,Stuarts Draft Elementary,0.0035842293906810036
Augusta County,Stuarts Draft High,0.0
Augusta County,Stuarts Draft Middle,0.0021551724137931034
Augusta County,Wilson Elementary,0.01664145234493192
Augusta County,Wilson Memorial High,0.00850546780072904
Augusta County,Wilson Middle,0.007886435331230283
Bath County,Bath County High,0.005319148936170213
Bath County,Millboro Elementary,0.014184397163120567
Bath County,Valley Elementary,0.0
Bedford County,Bedford Elementary,0.002364066193853428
Bedford County,Bedford Primary,0.01090909090909091
Bedford County,Big Island Elementary,0.0
Bedford County,Boonsboro Elementary,0.0
Bedford County,Forest Elementary,0.008547008547008548
Bedford County,Forest Middle,0.0022701475595913734
Bedford County,Goodview Elementary,0.014492753623188406
Bedford County,Huddleston Elementary,0.004608294930875576
Bedford County,Jefferson Forest High,1.0
Bedford County,Liberty High,0.0070126227208976155
Bedford County,Liberty Middle,0.005535055350553505
Bedford County,Moneta Elementary,0.013888888888888888
Bedford County,Montvale Elementary,0.00816326530612245
Bedford County,New London Academy Elementary,0.0031446540880503146
Bedford County,Otter River Elementary,0.015789473684210527
Bedford County,Staunton River High,0.00544069640914037
Bedford County,Staunton River Middle,0.005025125628140704
Bedford County,Stewartsville Elementary,0.008823529411764706
Bedford County,Thomas Jefferson Elementary,0.013207547169811321
Bland County,Bland County Elementary,0.011527377521613832
Bland County,Bland County High,0.002688172043010753
Botetourt County,Breckinridge Elementary,0.0
Botetourt County,Buchanan Elementary,0.0
Botetourt County,Central Academy Middle,0.0056022408963585435
Botetourt County,Cloverdale Elementary,0.0
Botetourt County,Colonial Elementary,0.00909090909090909
Botetourt County,Eagle Rock Elementary,0.0
Botetourt County,Greenfield Elementary,0.0
Botetourt County,James River High,0.0021008403361344537
Botetourt County,Lord Botetourt High,1.0
Botetourt County,Read Mountain Middle,0.0
Botetourt County,Troutville Elementary,0.0
Bristol City,Highland View Elementary,0.0055248618784530384
Bristol City,Joseph Van Pelt Elementary,0.0023752969121140144
Bristol City,Stonewall Jackson Elementary,0.0
Bristol City,Virginia High,0.003129890453834116
Bristol City,Virginia Middle,0.00205761316872428
Bristol City,Washington-Lee Elementary,0.004291845493562232
Brunswick County,Brunswick High,0.002277904328018223
Brunswick County,James S. Russell Middle,0.0
Brunswick County,Meherrin Powellton Elementary,0.0
Brunswick County,Red Oak-Sturgeon Elementary,0.0055248618784530384
Brunswick County,Totaro Elementary,0.0
Buchanan County,Council Elementary/Middle,0.0
Buchanan County,Council High,0.0
Buchanan County,Grundy High,0.014084507042253521
Buchanan County,Hurley Elementary/Middle,0.00821917808219178
Buchanan County,Hurley High,0.019704433497536946
Buchanan County,Riverview Elementary/Middle,0.009641873278236915
Buchanan County,Twin Valley Elementary/Middle,0.0
Buchanan County,Twin Valley High,0.005050505050505051
Buckingham County,Buckingham Co Elementary,0.0024271844660194173
Buckingham County,Buckingham Co Prekindergarten Center,0.0
Buckingham County,Buckingham Co Primary,0.006006006006006006
Buckingham County,Buckingham County High,0.0
Buckingham County,Buckingham County Middle,0.003968253968253968
Buena Vista City,Enderly Heights Elementary,0.005405405405405406
Buena Vista City,F.W. Kling Jr. Elementary,0.0
Buena Vista City,Parry McCluer High,0.0
Buena Vista City,Parry McCluer Middle,0.0
Campbell County,Altavista Elementary,0.0
Campbell County,Altavista High,0.0014245014245014246
Campbell County,Brookneal Elementary,0.0
Campbell County,Brookville High,0.001
Campbell County,Brookville Middle,0.0
Campbell County,Concord Elementary,0.0024330900243309003
Campbell County,Leesville Road Elementary,0.0
Campbell County,Rustburg Elementary,0.0
Campbell County,Rustburg High,0.0037267080745341614
Campbell County,Rustburg Middle,0.0049586776859504135
Campbell County,Tomahawk Elementary,0.0
Campbell County,William Campbell High,0.004914004914004914
Campbell County,Yellow Branch Elementary,0.0035650623885918
Caroline County,Bowling Green Elementary,0.0
Caroline County,Caroline High,1.0
Caroline County,Caroline Middle,0.00102880658436214
Caroline County,Lewis and Clark Elementary,0.0
Caroline County,Madison Elementary,0.006802721088435374
Carroll County,Carroll County High,1.0
Carroll County,Carroll County Middle,0.01174934725848564
Carroll County,Fancy Gap Elementary,0.013986013986013986
Carroll County,Gladesboro Elementary,0.00980392156862745
Carroll County,Gladeville Elementary,0.008032128514056224
Carroll County,Hillsville Elementary,0.012658227848101266
Carroll County,Laurel Elementary,0.0
Carroll County,Oakland Elementary,0.01015228426395939
Carroll County,St. Paul,0.006289308176100629
Charles City County,Charles City County Elementary,0.00684931506849315
Charles City County,Charles City County High,0.00423728813559322
Charlotte County,Bacon District Elementary,0.0
Charlotte County,Central Middle,0.010554089709762533
Charlotte County,Eureka Elementary,0.0
Charlotte County,Phenix Elementary,0.0
Charlotte County,Randolph-Henry High,0.003937007874015748
Charlottesville City,Buford Middle,0.005008347245409015
Charlottesville City,Burnley-Moran Elementary,0.0
Charlottesville City,Charlottesville High,1.0
Charlottesville City,Clark Elementary,0.009259259259259259
Charlottesville City,Greenbrier Elementary,0.0
Charlottesville City,Jackson-Via Elementary,0.0
Charlottesville City,Johnson Elementary,0.0
Charlottesville City,Venable Elementary,0.0035335689045936395
Charlottesville City,Walker Upper Elementary,0.0032102728731942215
Chesapeake City,B.M. Williams Primary,0.001152073732718894
Chesapeake City,Butts Road Intermediate,0.0032414910858995136
Chesapeake City,Butts Road Primary,0.0018050541516245488
Chesapeake City,Camelot Elementary,0.006211180124223602
Chesapeake City,Cedar Road Elementary,0.0036452004860267314
Chesapeake City,Crestwood Intermediate,0.0014265335235378032
Chesapeake City,Crestwood Middle,0.003629764065335753
Chesapeake City,Deep Creek Central Elementary,0.0011862396204033216
Chesapeake City,Deep Creek Elementary,0.0025974025974025974
Chesapeake City,Deep Creek High,1.0
Chesapeake City,Deep Creek Middle,0.006234413965087282
Chesapeake City,Edwin W. Chittum Elementary,0.002635046113306983
Chesapeake City,G.A. Treakle Elementary,0.002257336343115124
Chesapeake City,George W. Carver Intermediate,0.003913894324853229
Chesapeake City,Georgetown Primary,0.0028129395218002813
Chesapeake City,Grassfield Elementary,1.0
Chesapeake City,Grassfield High,1.0
Chesapeake City,Great Bridge High,1.0
Chesapeake City,Great Bridge Intermediate,0.002936857562408223
Chesapeake City,Great Bridge Middle,1.0
Chesapeake City,Great Bridge Primary,0.009036144578313253
Chesapeake City,Greenbrier Intermediate,0.001607717041800643
Chesapeake City,Greenbrier Middle,0.002364066193853428
Chesapeake City,Greenbrier Primary,0.0014792899408284023
Chesapeake City,Hickory Elementary,0.0
Chesapeake City,Hickory High,
Chesapeake City,Hickory Middle,
Chesapeake City,Hugo A. Owens Middle,1.0
Chesapeake City,Indian River High,1.0
Chesapeake City,Indian River Middle,0.0026917900403768506
Chesapeake City,Jolliff Middle,0.0
Chesapeake City,Norfolk Highlands Primary,0.0
Chesapeake City,Oscar F. Smith High,1.0
Chesapeake City,Oscar Smith Middle,1.0
Chesapeake City,Portlock Primary,0.0
Chesapeake City,Rena B. Wright Primary,0.0034129692832764505
Chesapeake City,Southeastern Elementary,0.004830917874396135
Chesapeake City,Southwestern Elementary,0.0036496350364963502
Chesapeake City,Sparrow Road Intermediate,0.0
Chesapeake City,Thurgood Marshall Elementary,0.002325581395348837
Chesapeake City,Truitt Intermediate,0.0038022813688212928
Chesapeake City,Western Branch High,1.0
Chesapeake City,Western Branch Intermediate,0.008097165991902834
Chesapeake City,Western Branch Middle,0.001098901098901099
Chesapeake City,Western Branch Primary,0.004005340453938585
Chesterfield County,A.M. Davis Elementary,0.0028089887640449437
Chesterfield County,Alberta Smith Elementary,0.001594896331738437
Chesterfield County,Bailey Bridge Middle,
Chesterfield County,Bellwood Elementary,0.0
Chesterfield County,Bensley Elementary,0.0
Chesterfield County,Bettie Weaver Elementary,0.0
Chesterfield County,Beulah Elementary,0.001034126163391934
Chesterfield County,Bon Air Elementary,0.0
Chesterfield County,C.C. Wells Elementary,0.003115264797507788
Chesterfield County,C.E. Curtis Elementary,0.001483679525222552
Chesterfield County,Carver College and Career Academy,0.01904761904761905
Chesterfield County,Carver Middle,
Chesterfield County,Chester Early Childhood Learning Academy,0.0
Chesterfield County,Clover Hill Elementary,0.0
Chesterfield County,Clover Hill High,
Chesterfield County,Cosby High,1.0
Chesterfield County,Crestwood Elementary,0.0
Chesterfield County,Ecoff Elementary,0.004054054054054054
Chesterfield County,Elizabeth Davis Middle,
Chesterfield County,Elizabeth Scott Elementary,0.0
Chesterfield County,Enon Elementary,0.0
Chesterfield County,Ettrick Elementary,0.0
Chesterfield County,Evergreen Elementary,0.0
Chesterfield County,Falling Creek Elementary,0.0
Chesterfield County,Falling Creek Middle,
Chesterfield County,Grange Hall Elementary,0.0
Chesterfield County,Greenfield Elementary,0.0020325203252032522
Chesterfield County,Harrowgate Elementary,0.0
Chesterfield County,Hopkins Road Elementary,0.0
Chesterfield County,J.A. Chalkley Elementary,0.0
Chesterfield County,J.B. Watkins Elementary,0.0
Chesterfield County,J.G. Hening Elementary,0.0024479804161566705
Chesterfield County,Jacobs Road Elementary,0.0014388489208633094
Chesterfield County,James River High,1.0
Chesterfield County,Lloyd C. Bird High,
Chesterfield County,Manchester High,
Chesterfield County,Manchester Middle,
Chesterfield County,Marguerite F. Christian Elementary,0.0
Chesterfield County,Matoaca Elementary,0.0052173913043478265
Chesterfield County,Matoaca High,1.0
Chesterfield County,Matoaca Middle,0.002176278563656148
Chesterfield County,Meadowbrook High,
Chesterfield County,Midlothian High,
Chesterfield County,Midlothian Middle,
Chesterfield County,Monacan High,1.0
Chesterfield County,O.B. Gates Elementary,0.0
Chesterfield County,Old Hundred Elementary,0.0
Chesterfield County,Providence Elementary,0.0
Chesterfield County,Providence Middle,
Chesterfield County,Reams Road Elementary,0.0
Chesterfield County,Robious Elementary,0.0
Chesterfield County,Robious Middle,
Chesterfield County,Salem Church Elementary,0.0019305019305019305
Chesterfield County,Salem Church Middle,0.001122334455667789
Chesterfield County,Spring Run Elementary,0.001141552511415525
Chesterfield County,Swift Creek Elementary,0.0
Chesterfield County,Swift Creek Middle,1.0
Chesterfield County,Thelma Crenshaw Elementary,0.01337295690936107
Chesterfield County,Thomas Dale High,1.0
Chesterfield County,Tomahawk Creek Middle,
Chesterfield County,W.W. Gordon Elementary,0.0
Chesterfield County,Winterpock Elementary,
Chesterfield County,Woolridge Elementary,0.0
Clarke County,Boyce Elementary,0.003257328990228013
Clarke County,Clarke County High,0.0
Clarke County,D.G. Cooley Elementary,0.004640371229698376
Clarke County,Johnson-Williams Middle,0.002398081534772182
Colonial Beach,Colonial Beach Elementary,0.0
Colonial Beach,Colonial Beach High,0.0
Colonial Heights City,Colonial Heights High,0.002398081534772182
Colonial Heights City,Colonial Heights Middle,0.0030581039755351682
Colonial Heights City,Lakeview Elementary,0.0
Colonial Heights City,North Elementary,0.0
Colonial Heights City,Tussing Elementary,0.006802721088435374
Covington City,Covington High,0.0028653295128939827
Covington City,Edgemont Primary,0.0031746031746031746
Covington City,Jeter-Watson Intermediate,0.0
Craig County,Craig County High,0.013333333333333334
Craig County,McCleary Elementary,0.023474178403755867
Culpeper County,A.G. Richardson Elementary,0.0
Culpeper County,Culpeper County High,1.0
Culpeper County,Culpeper Middle,1.0
Culpeper County,Eastern View High,1.0
Culpeper County,Emerald Hill Elementary,0.0
Culpeper County,Farmington Elementary,0.002036659877800407
Culpeper County,Floyd T. Binns Middle,0.0023923444976076554
Culpeper County,Galbreath-Marshall Building,0.0
Culpeper County,Pearl Sample Elementary,0.0
Culpeper County,Sycamore Park Elementary,0.0028735632183908046
Culpeper County,Yowell Elementary,0.0015360983102918587
Cumberland County,Cumberland Elementary,0.0040650406504065045
Cumberland County,Cumberland High,0.008086253369272238
Cumberland County,Cumberland Middle,0.002898550724637681
Danville City,Edwin A. Gibson Elementary,0.0
Danville City,Forest Hills Elementary,0.0
Danville City,G.L.H. Johnson Elementary,0.001937984496124031
Danville City,Galileo Magnet High,0.00398406374501992
Danville City,George Washington High,1.0
Danville City,Grove Park Preschool,0.008403361344537815
Danville City,O. Trent Bonner Middle,0.0013774104683195593
Danville City,Park Avenue Elementary,0.007614213197969543
Danville City,Schoolfield Elementary,0.003968253968253968
Danville City,The Northside Preschool,0.0
Danville City,Westwood Middle,0.0017825311942959
Danville City,Woodberry Hills Elementary,0.0
Dickenson County,Clintwood Elementary,0.002364066193853428
Dickenson County,Ervinton Elementary,0.0
Dickenson County,Ridgeview High,0.006644518272425249
Dickenson County,Ridgeview Middle,0.004728132387706856
Dickenson County,Sandlick Elementary,0.00267379679144385
Dinwiddie County,Dinwiddie County High,1.0
Dinwiddie County,Dinwiddie County Middle,0.0021390374331550803
Dinwiddie County,Dinwiddie Elementary,0.005847953216374269
Dinwiddie County,Midway Elementary,0.0
Dinwiddie County,Southside Elementary,0.0
Dinwiddie County,Sunnyside Elementary,0.011406844106463879
Dinwiddie County,Sutherland Elementary,0.0055658627087198514
Essex County,Essex High,0.0
Essex County,James H. Cary Intermediate,0.005479452054794521
Essex County,Tappahannock Elementary,0.0019230769230769232
Fairfax County,Aldrin Elementary,0.0
Fairfax County,Annandale High,1.0
Fairfax County,Annandale Terrace Elementary,0.0
Fairfax County,Archer Elementary,0.0
Fairfax County,Armstrong Elementary,0.0
Fairfax County,Bailey's Elementary School for the Arts and Sciences,0.0
Fairfax County,Bailey's Upper Elementary School for the Arts and Sciences,0.0
Fairfax County,Beech Tree Elementary,0.0027397260273972603
Fairfax County,Belle View Elementary,0.0024154589371980675
Fairfax County,Belvedere Elementary,0.0
Fairfax County,Bonnie Brae Elementary,0.0
Fairfax County,Braddock Elementary,0.0011668611435239206
Fairfax County,Bren Mar Park Elementary,0.0
Fairfax County,Brookfield Elementary,0.0013513513513513514
Fairfax County,Bryant High,0.02857142857142857
Fairfax County,Bucknell Elementary,0.0
Fairfax County,Bull Run Early Childhood Resource Center,0.0
Fairfax County,Bull Run Elementary,0.0
Fairfax County,Bush Hill Elementary,0.0
Fairfax County,Camelot Elementary,0.0
Fairfax County,Cameron Elementary,0.0
Fairfax County,Canterbury Woods Elementary,0.0
Fairfax County,Cardinal Forest Elementary,0.0017035775127768314
Fairfax County,Carson Middle,1.0
Fairfax County,Centre Ridge Elementary,0.0
Fairfax County,Centreville Elementary,0.003787878787878788
Fairfax County,Centreville High,
Fairfax County,Chantilly High,1.0
Fairfax County,Cherry Run Elementary,0.0
Fairfax County,Chesterbrook Elementary,0.0
Fairfax County,Churchill Road Elementary,0.0
Fairfax County,Clearview Elementary,0.0
Fairfax County,Clermont Elementary,0.001851851851851852
Fairfax County,Coates Elementary,0.0
Fairfax County,Columbia Elementary,0.0
Fairfax County,Colvin Run Elementary,0.0
Fairfax County,Cooper Middle,1.0
Fairfax County,Crestwood Elementary,0.0
Fairfax County,Crossfield Elementary,0.0
Fairfax County,Cub Run Elementary,0.0
Fairfax County,Cunningham Park Elementary,0.0
Fairfax County,Daniels Run Elementary,0.0
Fairfax County,Deer Park Elementary,0.0
Fairfax County,Dogwood Elementary,0.0
Fairfax County,Dranesville Elementary,0.0016207455429497568
Fairfax County,Dunn Loring Early Childhood Resource Center,0.0
Fairfax County,Eagle View Elementary,0.0
Fairfax County,Edison High,1.0
Fairfax County,Fairfax County Adult High,0.007042253521126761
Fairfax County,Fairfax High,1.0
Fairfax County,Fairfax Villa Elementary,0.0
Fairfax County,Fairhill Elementary,0.0
Fairfax County,Fairview Elementary,0.001388888888888889
Fairfax County,Falls Church High,1.0
Fairfax County,Flint Hill Elementary,0.0
Fairfax County,Floris Elementary,0.0
Fairfax County,Forest Edge Elementary,0.0021008403361344537
Fairfax County,Forestdale Elementary,0.0019193857965451055
Fairfax County,Forestville Elementary,0.0
